subject,band,n_train,n_test,chance,majority,csp_gaussian_nb,csp_lda
1,8-30,144,144,0.5,0.5,0.7152777777777778,0.8055555555555556
2,8-30,144,144,0.5,0.5,0.5763888888888888,0.6180555555555556
3,8-30,144,144,0.5,0.5,0.7569444444444444,0.8958333333333334
4,8-30,144,144,0.5,0.5,0.6597222222222222,0.6805555555555556
5,8-30,144,144,0.5,0.5,0.5555555555555556,0.5902777777777778
6,8-30,144,144,0.5,0.5,0.6041666666666666,0.6388888888888888
7,8-30,144,144,0.5,0.5,0.5277777777777778,0.6805555555555556
8,8-30,144,144,0.5,0.5,0.9166666666666666,0.9513888888888888
9,8-30,144,144,0.5,0.5,0.8958333333333334,0.9027777777777778
